,Year,Scenario,Country,value
230,2016,2.0deg,SS,77075485.86688991
231,2016,2.0deg,SZ,2797068479.9173856
232,2016,2.0deg,TD,94920118.56295124
233,2016,2.0deg,TG,3168606507.9769516
234,2016,2.0deg,TN,146412065418.76132
235,2016,2.0deg,TZ,35230182576.9897
236,2016,2.0deg,UG,32516367335.161324
237,2016,2.0deg,ZA,624770581017.3481
238,2016,2.0deg,ZM,102353055414.318
239,2016,2.0deg,ZW,42393047713.975784
240,2016,Reference,AO,52296774335.95059
241,2016,Reference,BF,1769655369.0417628
242,2016,Reference,BI,2064371022.6167765
243,2016,Reference,BJ,6267128580.258356
244,2016,Reference,BW,5917744720.244189
245,2016,Reference,CD,104603939634.35255
246,2016,Reference,CF,467041544.0321803
247,2016,Reference,CG,13832997189.27564
248,2016,Reference,CI,39430486253.83676
249,2016,Reference,CM,56005936240.13994
250,2016,Reference,DJ,74540108.04232115
251,2016,Reference,DZ,699057506147.2146
252,2016,Reference,EG,1564320707315.4185
253,2016,Reference,ER,197267837.97255218
254,2016,Reference,ET,122580536023.12146
255,2016,Reference,GA,16632174209.77225
256,2016,Reference,GH,125460259933.37383
257,2016,Reference,GM,208423500.40065464
258,2016,Reference,GN,5282730537.181137
259,2016,Reference,GQ,13265933702.092556
260,2016,Reference,GW,13691040.252671232
261,2016,Reference,KE,62599486279.91184
262,2016,Reference,LR,183432787.3472315
263,2016,Reference,LS,3290870065.0013485
264,2016,Reference,LY,239866699260.0392
265,2016,Reference,MA,206762086778.09628
266,2016,Reference,ML,9382536076.288157
267,2016,Reference,MR,6530472070.921976
268,2016,Reference,MW,16394064336.418955
269,2016,Reference,MZ,102950497969.79388
270,2016,Reference,NE,528016525.56131244
271,2016,Reference,NG,232204164307.88846
272,2016,Reference,NM,19888891584.561264
273,2016,Reference,RW,4444222285.974858
274,2016,Reference,SD,73687175782.3085
275,2016,Reference,SL,211257659.84171486
276,2016,Reference,SN,7825474119.219674
277,2016,Reference,SO,401597154.68827987
278,2016,Reference,SS,77075485.86688991
279,2016,Reference,SZ,2797068479.9173856
280,2016,Reference,TD,94920118.56295124
281,2016,Reference,TG,3168606507.9769516
282,2016,Reference,TN,149177489316.27658
283,2016,Reference,TZ,35230182576.9897
284,2016,Reference,UG,32516367335.161324
285,2016,Reference,ZA,624163937122.8644
286,2016,Reference,ZM,102176369026.64734
287,2016,Reference,ZW,42393047713.975784
288,2017,1.5deg,AO,110378488508.60114
289,2017,1.5deg,BF,8469907383.046044
290,2017,1.5deg,BI,2461644432.6392817
291,2017,1.5deg,BJ,6570352645.174433
292,2017,1.5deg,BW,5913985435.400133
293,2017,1.5deg,CD,104995614545.59116
294,2017,1.5deg,CF,493409473.4076953
295,2017,1.5deg,CG,21803871252.552486
296,2017,1.5deg,CI,39430486253.83676
297,2017,1.5deg,CM,55966891421.64157
298,2017,1.5deg,DJ,41580196.322927445
299,2017,1.5deg,DZ,749696829889.0234
300,2017,1.5deg,EG,1624229651526.5405
301,2017,1.5deg,ER,222114540.6533259
302,2017,1.5deg,ET,158447418584.18176
303,2017,1.5deg,GA,24150405538.18976
304,2017,1.5deg,GH,145018212120.46075
305,2017,1.5deg,GM,207409349.27082714
306,2017,1.5deg,GN,14616262316.147362
307,2017,1.5deg,GQ,16055428853.858574
308,2017,1.5deg,GW,28903307.20008371
309,2017,1.5deg,KE,63080716434.2361
310,2017,1.5deg,LR,3077173452.698724
311,2017,1.5deg,LS,3290870065.0013485
312,2017,1.5deg,LY,236482963801.3435
313,2017,1.5deg,MA,211328433697.63037
314,2017,1.5deg,ML,9315602101.71954
315,2017,1.5deg,MR,9973455934.533424
316,2017,1.5deg,MW,16466576142.201622
317,2017,1.5deg,MZ,106860990483.5118
318,2017,1.5deg,NE,6325735792.926231
319,2017,1.5deg,NG,342566533202.67126
320,2017,1.5deg,NM,20587681349.952312
321,2017,1.5deg,RW,6932942762.336136
322,2017,1.5deg,SD,87862426367.35355
323,2017,1.5deg,SL,2962903932.86006
324,2017,1.5deg,SN,10953517727.356375
325,2017,1.5deg,SO,545703603.0478648
326,2017,1.5deg,SS,130318420.18283358
327,2017,1.5deg,SZ,2797068479.9173856
328,2017,1.5deg,TD,278481473.0617285
329,2017,1.5deg,TG,3168606507.9769516
330,2017,1.5deg,TN,152897519218.19022
331,2017,1.5deg,TZ,35615052930.75925
332,2017,1.5deg,UG,33584376577.417408
333,2017,1.5deg,ZA,651039555815.332
334,2017,1.5deg,ZM,105360483289.5633
335,2017,1.5deg,ZW,49032530174.80287
336,2017,2.0deg,AO,110349110267.62402
337,2017,2.0deg,BF,8606817785.572756
338,2017,2.0deg,BI,2461644432.6392817
339,2017,2.0deg,BJ,6570352645.174433
340,2017,2.0deg,BW,5913985435.400133
341,2017,2.0deg,CD,104995107470.02625
342,2017,2.0deg,CF,493409473.4076953
343,2017,2.0deg,CG,22167740130.45178
344,2017,2.0deg,CI,39468009845.64038
345,2017,2.0deg,CM,55966891421.64157
346,2017,2.0deg,DJ,41580196.322927445
347,2017,2.0deg,DZ,794361734651.1615
348,2017,2.0deg,EG,1624323967581.6145
349,2017,2.0deg,ER,222114540.6533259
350,2017,2.0deg,ET,159351149634.9422
351,2017,2.0deg,GA,16648907703.414402
352,2017,2.0deg,GH,145018212120.46075
353,2017,2.0deg,GM,207409349.27082714
354,2017,2.0deg,GN,14616262316.147362
355,2017,2.0deg,GQ,16055428853.858574
356,2017,2.0deg,GW,28903307.20008371
357,2017,2.0deg,KE,63080716434.2361
358,2017,2.0deg,LR,3077173452.698724
359,2017,2.0deg,LS,3290870065.0013485
360,2017,2.0deg,LY,244780147517.6159
361,2017,2.0deg,MA,211328433697.63037
362,2017,2.0deg,ML,9195932268.399897
363,2017,2.0deg,MR,9973455934.533424
364,2017,2.0deg,MW,16466576142.201622
365,2017,2.0deg,MZ,106860990483.5118
366,2017,2.0deg,NE,6325735792.926231
367,2017,2.0deg,NG,342566533202.67126
368,2017,2.0deg,NM,20587681349.952312
369,2017,2.0deg,RW,6569073884.436844
370,2017,2.0deg,SD,87862426367.35355
371,2017,2.0deg,SL,2963411008.4249735
372,2017,2.0deg,SN,10799366755.622595
373,2017,2.0deg,SO,545703603.0478648
374,2017,2.0deg,SS,130318420.18283358
375,2017,2.0deg,SZ,2797068479.9173856
376,2017,2.0deg,TD,278481473.0617285
377,2017,2.0deg,TG,3168606507.9769516
378,2017,2.0deg,TN,121240926840.95187
379,2017,2.0deg,TZ,35615052930.75925
380,2017,2.0deg,UG,33584376577.417408
381,2017,2.0deg,ZA,651822379021.9216
382,2017,2.0deg,ZM,105360483289.5633
383,2017,2.0deg,ZW,49032530174.80287
384,2017,Reference,AO,110378488508.60114
385,2017,Reference,BF,8469907383.046044
386,2017,Reference,BI,2461644432.6392817
387,2017,Reference,BJ,6570352645.174433
388,2017,Reference,BW,5913985435.400133
389,2017,Reference,CD,104995614545.59116
390,2017,Reference,CF,493409473.4076953
391,2017,Reference,CG,21804885403.682312
392,2017,Reference,CI,39430486253.83676
393,2017,Reference,CM,55966891421.64157
394,2017,Reference,DJ,41580196.322927445
395,2017,Reference,DZ,777290219796.3865
396,2017,Reference,EG,1624455300152.9272
397,2017,Reference,ER,222621616.2182396
398,2017,Reference,ET,157335142721.15292
399,2017,Reference,GA,16648907703.414402
400,2017,Reference,GH,145018212120.46075
401,2017,Reference,GM,207409349.27082714
402,2017,Reference,GN,14616262316.147362
403,2017,Reference,GQ,16055428853.858574
404,2017,Reference,GW,28903307.20008371
405,2017,Reference,KE,63080716434.2361
406,2017,Reference,LR,3077173452.698724
407,2017,Reference,LS,3290870065.0013485
408,2017,Reference,LY,258656044825.37598
409,2017,Reference,MA,211419907992.6701
410,2017,Reference,ML,9315602101.71954
411,2017,Reference,MR,10055095100.484537
412,2017,Reference,MW,16466576142.201622
413,2017,Reference,MZ,106860990483.5118
414,2017,Reference,NE,6325735792.926231
415,2017,Reference,NG,342566533202.67126
416,2017,Reference,NM,20587681349.952312
417,2017,Reference,RW,6781330729.878098
418,2017,Reference,SD,87862426367.35355
419,2017,Reference,SL,2962903932.86006
420,2017,Reference,SN,10954531878.4862
421,2017,Reference,SO,545703603.0478648
422,2017,Reference,SS,130318420.18283358
423,2017,Reference,SZ,2797068479.9173856
424,2017,Reference,TD,278481473.0617285
425,2017,Reference,TG,3168606507.9769516
426,2017,Reference,TN,156178424026.0628
427,2017,Reference,TZ,35615052930.75925
428,2017,Reference,UG,33584376577.417408
429,2017,Reference,ZA,650886649043.7452
430,2017,Reference,ZM,105360483289.5633
431,2017,Reference,ZW,49032530174.80287
432,2018,1.5deg,AO,127652894203.14243
433,2018,1.5deg,BF,10847386495.783772
434,2018,1.5deg,BI,2489026513.144624
435,2018,1.5deg,BJ,14320144654.668852
436,2018,1.5deg,BW,5906466865.71202
437,2018,1.5deg,CD,116489651652.28358
438,2018,1.5deg,CF,519777402.7832102
439,2018,1.5deg,CG,33328414021.623024
440,2018,1.5deg,CI,39430486253.83676
441,2018,1.5deg,CM,64569452421.558655
442,2018,1.5deg,DJ,41580196.322927445
443,2018,1.5deg,DZ,878774842086.7625
444,2018,1.5deg,EG,1762565373351.5562
445,2018,1.5deg,ER,246454167.7691858
446,2018,1.5deg,ET,183379416016.82574
447,2018,1.5deg,GA,24170181485.221394
448,2018,1.5deg,GH,172822024141.4582
449,2018,1.5deg,GM,205888122.5760859
450,2018,1.5deg,GN,16124604884.95591
451,2018,1.5deg,GQ,17017734779.954615
452,2018,1.5deg,GW,43608498.582582444
453,2018,1.5deg,KE,70141154449.30423
454,2018,1.5deg,LR,3240451784.600951
455,2018,1.5deg,LS,3290870065.0013485
456,2018,1.5deg,LY,244089732660.2657
457,2018,1.5deg,MA,245109910800.22388
458,2018,1.5deg,ML,9135590276.17516
459,2018,1.5deg,MR,9995260183.824715
460,2018,1.5deg,MW,16535031343.464977
461,2018,1.5deg,MZ,106860990483.5118
462,2018,1.5deg,NE,6448955155.200273
463,2018,1.5deg,NG,486315921584.20026
464,2018,1.5deg,NM,20587681349.952312
465,2018,1.5deg,RW,7205745854.808559
466,2018,1.5deg,SD,87729572569.34613
467,2018,1.5deg,SL,3104378015.470996
468,2018,1.5deg,SN,10960109709.700254
469,2018,1.5deg,SO,647118716.0306147
470,2018,1.5deg,SS,183561354.49877727
471,2018,1.5deg,SZ,2797068479.9173856
472,2018,1.5deg,TD,427054613.5814571
473,2018,1.5deg,TG,3168606507.9769516
474,2018,1.5deg,TN,115237090355.61356
475,2018,1.5deg,TZ,35772753431.44742
476,2018,1.5deg,UG,34108274868.2957
477,2018,1.5deg,ZA,693486424934.8832
478,2018,1.5deg,ZM,105801156904.21997
479,2018,1.5deg,ZW,56903774576.476036
480,2018,2.0deg,AO,127623515962.1653
481,2018,2.0deg,BF,11018778036.724619
482,2018,2.0deg,BI,2489026513.144624
483,2018,2.0deg,BJ,14320144654.668852
484,2018,2.0deg,BW,5906466865.71202
485,2018,2.0deg,CD,116489651652.28358
486,2018,2.0deg,CF,519777402.7832102
487,2018,2.0deg,CG,33298091615.13142
488,2018,2.0deg,CI,39468009845.64038
489,2018,2.0deg,CM,64569452421.558655
490,2018,2.0deg,DJ,41580196.322927445
491,2018,2.0deg,DZ,878774842086.7625
492,2018,2.0deg,EG,1769024045934.2686
493,2018,2.0deg,ER,246454167.7691858
494,2018,2.0deg,ET,184414190863.1258
495,2018,2.0deg,GA,16666655348.186382
496,2018,2.0deg,GH,172822024141.4582
497,2018,2.0deg,GM,205888122.5760859
498,2018,2.0deg,GN,15784864256.463697
499,2018,2.0deg,GQ,17017734779.954615
500,2018,2.0deg,GW,58820765.52999492
501,2018,2.0deg,KE,70141154449.30423
502,2018,2.0deg,LR,3252114522.5939674
503,2018,2.0deg,LS,3290870065.0013485
504,2018,2.0deg,LY,262023557427.4456
