,Year,Scenario,Country,Wind (Onshore),Wind (Offshore),Solar CSP,Solar PV,Hydro,Oil,Gas CCS,Gas,Nuclear,Geothermal,Coal,Coal CCS,Biomass,BECCS,Hydrogen
59,2015,2.0deg,DZ,0.0,647976164.126232,0.0,28002267219.57363,10488032028.828634,437099136.9556519,0.0,683982523231.1927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,2015,2.0deg,EG,0.0,42852823654.214806,0.0,844895993.694032,125092550080.53871,2925318933.9874196,0.0,1327757535454.5137,0.0,0.0,0.0,0.0,8482282623.6700115,0.0,0.0
61,2015,2.0deg,ER,0.0,0.0,0.0,0.0,0.0,77582561.43180364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,2015,2.0deg,ET,0.0,14385070843.60235,0.0,844895993.694032,103998973058.973,34481138.41413495,0.0,0.0,0.0,1020143021.3637642,0.0,0.0,1496456215.37991,0.0,0.0
63,2015,2.0deg,GA,0.0,0.0,0.0,0.0,14424716319.761509,277877409.5727346,0.0,1910311608.971279,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,2015,2.0deg,GH,0.0,0.0,0.0,1206994276.70576,69538296392.82178,384870353.7695357,0.0,73289256490.21558,0.0,0.0,0.0,0.0,63829885.964072,0.0,0.0
65,2015,2.0deg,GM,0.0,0.0,0.0,120699427.67057599,0.0,81132090.38619989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,2015,2.0deg,GN,0.0,0.0,0.0,0.0,5082435689.040206,110542473.15119734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2015,2.0deg,GQ,0.0,0.0,0.0,0.0,5464352821.742649,9127360.168447487,0.0,9399946012.398357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,2015,2.0deg,GW,0.0,0.0,0.0,0.0,0.0,13183964.687757483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,2015,2.0deg,KE,0.0,1771134848.6117008,0.0,1569092559.7174878,34871972039.83078,594292562.0789142,0.0,0.0,0.0,22491724709.11537,0.0,0.0,964540499.0126435,0.0,0.0
