,Region,Year,Export_factor,Regional_factor
195,North America,2057,1.0,1.0000000000000004
196,North America,2058,1.0,1.0000000000000004
197,North America,2059,1.0,1.0000000000000004
198,North America,2060,1.0,1.0000000000000004
199,North America,2061,1.0,1.0000000000000004
200,North America,2062,1.0,1.0000000000000004
201,North America,2063,1.0,1.0000000000000004
202,North America,2064,1.0,1.0000000000000004
203,North America,2065,1.0,1.0000000000000004
204,Northeast Asia,2015,1.0000000000000004,2.183254907439732
205,Northeast Asia,2016,1.0000000000000004,2.1206152858458154
206,Northeast Asia,2017,1.0000000000000004,2.060475145617602
207,Northeast Asia,2018,1.0000000000000004,2.0028344867550913
208,Northeast Asia,2019,1.0000000000000004,1.9476933092573745
209,Northeast Asia,2020,1.0000000000000004,1.8950516131253607
210,Northeast Asia,2021,1.0000000000000004,1.8449093983572311
211,Northeast Asia,2022,1.0000000000000004,1.7972666649548046
212,Northeast Asia,2023,1.0000000000000004,1.7521234129180812
213,Northeast Asia,2024,1.0000000000000004,1.7094796422461513
214,Northeast Asia,2025,1.0000000000000004,1.6693353529390151
215,Northeast Asia,2026,1.0000000000000004,1.6316905449966725
216,Northeast Asia,2027,1.0000000000000004,1.5965452184209425
217,Northeast Asia,2028,1.0000000000000004,1.5638993732100062
218,Northeast Asia,2029,1.0000000000000004,1.533753009362954
219,Northeast Asia,2030,1.0000000000000004,1.5061061268816047
220,Northeast Asia,2031,1.0000000000000004,1.4809587257668682
221,Northeast Asia,2032,1.0000000000000004,1.4583108060151062
222,Northeast Asia,2033,1.0000000000000004,1.4381623676290474
223,Northeast Asia,2034,1.0000000000000004,1.4205134106086916
224,Northeast Asia,2035,1.0000000000000004,1.4179346875236307
225,Northeast Asia,2036,1.0000000000000004,1.4179346875236307
226,Northeast Asia,2037,1.0000000000000004,1.4179346875236307
227,Northeast Asia,2038,1.0000000000000004,1.4179346875236307
228,Northeast Asia,2039,1.0000000000000004,1.4179346875236307
229,Northeast Asia,2040,1.0000000000000004,1.4179346875236307
230,Northeast Asia,2041,1.0000000000000004,1.4179346875236307
231,Northeast Asia,2042,1.0000000000000004,1.4179346875236307
232,Northeast Asia,2043,1.0000000000000004,1.4179346875236307
233,Northeast Asia,2044,1.0000000000000004,1.4179346875236307
234,Northeast Asia,2045,1.0000000000000004,1.4179346875236307
235,Northeast Asia,2046,1.0000000000000004,1.4179346875236307
236,Northeast Asia,2047,1.0000000000000004,1.4179346875236307
237,Northeast Asia,2048,1.0000000000000004,1.4179346875236307
238,Northeast Asia,2049,1.0000000000000004,1.4179346875236307
239,Northeast Asia,2050,1.0000000000000004,1.4179346875236307
240,Northeast Asia,2051,1.0000000000000004,1.4179346875236307
241,Northeast Asia,2052,1.0000000000000004,1.4179346875236307
242,Northeast Asia,2053,1.0000000000000004,1.4179346875236307
243,Northeast Asia,2054,1.0000000000000004,1.4179346875236307
244,Northeast Asia,2055,1.0000000000000004,1.4179346875236307
245,Northeast Asia,2056,1.0000000000000004,1.4179346875236307
246,Northeast Asia,2057,1.0000000000000004,1.4179346875236307
247,Northeast Asia,2058,1.0000000000000004,1.4179346875236307
248,Northeast Asia,2059,1.0000000000000004,1.4179346875236307
249,Northeast Asia,2060,1.0000000000000004,1.4179346875236307
250,Northeast Asia,2061,1.0000000000000004,1.4179346875236307
251,Northeast Asia,2062,1.0000000000000004,1.4179346875236307
252,Northeast Asia,2063,1.0000000000000004,1.4179346875236307
253,Northeast Asia,2064,1.0000000000000004,1.4179346875236307
254,Northeast Asia,2065,1.0000000000000004,1.4179346875236307
255,SAARC,2015,0.6999999999952706,5.066677171647825
256,SAARC,2016,0.72428571428145,4.847905248954703
257,SAARC,2017,0.7476190476149895,4.6366627019997395
258,SAARC,2018,0.7699999999963438,4.432949530781116
259,SAARC,2019,0.7914285714250582,4.236765735298832
260,SAARC,2020,0.8119047619015873,4.048111315552887
261,SAARC,2021,0.8314285714254765,3.866986271543283
262,SAARC,2022,0.8499999999974079,3.693390603270018
263,SAARC,2023,0.867619047616472,3.5273243107330927
264,SAARC,2024,0.8842857142833509,3.3687873939343262
265,SAARC,2025,0.8999999999978172,3.2177798528718995
266,SAARC,2026,0.9147619047600983,3.0743016875458125
267,SAARC,2027,0.9285714285695121,2.938352897956065
268,SAARC,2028,0.9414285714269681,2.8099334841026575
269,SAARC,2029,0.9533333333317842,2.6890434459855896
270,SAARC,2030,1.0,2.5756827836048615
271,SAARC,2031,1.0,2.469851496960473
272,SAARC,2032,1.0,2.3715495860560623
273,SAARC,2033,1.0,2.2807770508843532
274,SAARC,2034,1.0,2.197533891450803
275,SAARC,2035,1.0,2.1218201077535923
276,SAARC,2036,1.0,2.0536356997927214
277,SAARC,2037,1.0,1.9929806675681903
278,SAARC,2038,1.0,1.9398550110818178
279,SAARC,2039,1.0,1.894258730329966
280,SAARC,2040,1.0,1.856191825314454
281,SAARC,2041,1.0,1.8256542960371007
282,SAARC,2042,1.0,1.8026461424960871
283,SAARC,2043,1.0,1.7871673646895943
284,SAARC,2044,1.0,1.77921796262126
285,SAARC,2045,1.0,1.7787979362910846
286,SAARC,2046,1.0,1.78590728569543
287,SAARC,2047,1.0,1.8005460108379339
288,SAARC,2048,1.0,1.8227141117149586
289,SAARC,2049,1.0,1.852411588330142
290,SAARC,2050,1.0,1.889638440679846
291,SAARC,2051,1.0,1.7602566853507216
292,SAARC,2052,1.0,1.7602566853507216
293,SAARC,2053,1.0,1.7602566853507216
294,SAARC,2054,1.0,1.7602566853507216
295,SAARC,2055,1.0,1.7602566853507216
296,SAARC,2056,1.0,1.7602566853507216
297,SAARC,2057,1.0,1.7602566853507216
298,SAARC,2058,1.0,1.7602566853507216
299,SAARC,2059,1.0,1.7602566853507216
300,SAARC,2060,1.0,1.7602566853507216
301,SAARC,2061,1.0,1.7602566853507216
302,SAARC,2062,1.0,1.7602566853507216
303,SAARC,2063,1.0,1.7602566853507216
304,SAARC,2064,1.0,1.7602566853507216
305,SAARC,2065,1.0,1.7602566853507216
306,South America,2015,0.47916666666242236,3.1093748242856236
307,South America,2016,0.5067857142817047,3.0219423929920595
308,South America,2017,0.5336904761870755,2.9373882713871353
309,South America,2018,0.5598809523778527,2.85571245947267
310,South America,2019,0.5853571428542637,2.776914957246845
311,South America,2020,0.6101190476163083,2.70099576470966
312,South America,2021,0.6341666666639867,2.627954881862024
313,South America,2022,0.6574999999975262,2.557792308702119
314,South America,2023,0.6801190476166994,2.490508045232673
315,South America,2024,0.7020238095217337,2.4261020914509572
316,South America,2025,0.7232142857124018,2.3645744473597006
317,South America,2026,0.7436904761887035,2.3059251129561744
318,South America,2027,0.763452380950639,2.2501540882421978
319,South America,2028,0.7824999999984357,2.1972613732177706
320,South America,2029,0.800833333331866,2.147246967881074
321,South America,2030,0.8184523809511575,2.1001108722348363
322,South America,2031,0.8353571428558553,2.055853086276329
323,South America,2032,0.8515476190464142,2.014473610008281
324,South America,2033,0.8670238095226068,1.9759724434279633
325,South America,2034,0.8817857142846606,1.9403495865362856
326,South America,2035,0.8958333333321207,1.907605039335067
327,South America,2036,0.9091666666654419,1.8777388018215788
328,South America,2037,0.9217857142846242,1.8507508739976402
329,South America,2038,0.9336904761892129,1.8266412558623415
330,South America,2039,0.9448809523796626,1.8054099474165923
331,South America,2040,1.0,1.7870569486603927
332,South America,2041,1.0,1.7715822595919235
333,South America,2042,1.0,1.7589858802130038
334,South America,2043,1.0,1.7492678105227242
335,South America,2044,1.0,1.742428050521994
336,South America,2045,1.0,1.7384666002099038
337,South America,2046,1.0,1.7373834595864537
338,South America,2047,1.0,1.7391786286534625
339,South America,2048,1.0,1.7438521074082018
340,South America,2049,1.0,1.7514038958515812
341,South America,2050,1.0,1.7618339939854195
342,South America,2051,1.0,1.7159513057910696
343,South America,2052,1.0,1.7159513057910696
344,South America,2053,1.0,1.7159513057910696
345,South America,2054,1.0,1.7159513057910696
346,South America,2055,1.0,1.7159513057910696
347,South America,2056,1.0,1.7159513057910696
348,South America,2057,1.0,1.7159513057910696
349,South America,2058,1.0,1.7159513057910696
350,South America,2059,1.0,1.7159513057910696
351,South America,2060,1.0,1.7159513057910696
352,South America,2061,1.0,1.7159513057910696
353,South America,2062,1.0,1.7159513057910696
354,South America,2063,1.0,1.7159513057910696
355,South America,2064,1.0,1.7159513057910696
356,South America,2065,1.0,1.7159513057910696
357,Southeast Asia,2015,0.9,2.49927822529844
358,Southeast Asia,2016,0.9,2.4372182688275643
359,Southeast Asia,2017,0.9,2.3771384964929894
360,Southeast Asia,2018,0.9,2.319038908296534
361,Southeast Asia,2019,0.9,2.262919504238198
362,Southeast Asia,2020,0.9,2.2087802843161626
363,Southeast Asia,2021,0.9,2.1566212485322467
364,Southeast Asia,2022,0.9,2.106442396885541
365,Southeast Asia,2023,0.9,2.0582437293769544
366,Southeast Asia,2024,0.9,2.0120252460046686
367,Southeast Asia,2025,0.9,1.9677869467705023
368,Southeast Asia,2026,0.9,1.9255288316744554
369,Southeast Asia,2027,0.9,1.8852509007147091
370,Southeast Asia,2028,0.9,1.8469531538921728
371,Southeast Asia,2029,0.9,1.810635591207756
372,Southeast Asia,2030,0.9,1.7762982126605493
373,Southeast Asia,2031,0.9,1.7439410182505526
374,Southeast Asia,2032,0.9,1.7135640079786754
375,Southeast Asia,2033,0.9,1.6851671818440082
376,Southeast Asia,2034,0.9,1.658750539846551
377,Southeast Asia,2035,1.0,1.6343140819872133
378,Southeast Asia,2036,1.0,1.6118578082641761
379,Southeast Asia,2037,1.0,1.5913817186792585
380,Southeast Asia,2038,1.0,1.5728858132315509
381,Southeast Asia,2039,1.0,1.5563700919210532
382,Southeast Asia,2040,1.0,1.5418345547486751
383,Southeast Asia,2041,1.0,1.529279201713507
384,Southeast Asia,2042,1.0,1.518704032815549
385,Southeast Asia,2043,1.0,1.5101090480557104
386,Southeast Asia,2044,1.0,1.5034942474321724
387,Southeast Asia,2045,1.0,1.498859630946754
388,Southeast Asia,2046,1.0,1.4962051985985454
389,Southeast Asia,2047,1.0,1.495530950387547
390,Southeast Asia,2048,1.0,1.496836886314668
391,Southeast Asia,2049,1.0,1.500123006378999
392,Southeast Asia,2050,1.0,1.50538931058054
393,Southeast Asia,2051,1.0,1.4730327289773868
394,Southeast Asia,2052,1.0,1.4730327289773868
395,Southeast Asia,2053,1.0,1.4730327289773868
396,Southeast Asia,2054,1.0,1.4730327289773868
397,Southeast Asia,2055,1.0,1.4730327289773868
398,Southeast Asia,2056,1.0,1.4730327289773868
399,Southeast Asia,2057,1.0,1.4730327289773868
400,Southeast Asia,2058,1.0,1.4730327289773868
401,Southeast Asia,2059,1.0,1.4730327289773868
402,Southeast Asia,2060,1.0,1.4730327289773868
403,Southeast Asia,2061,1.0,1.4730327289773868
404,Southeast Asia,2062,1.0,1.4730327289773868
405,Southeast Asia,2063,1.0,1.4730327289773868
406,Southeast Asia,2064,1.0,1.4730327289773868
407,Southeast Asia,2065,1.0,1.4730327289773868
408,Sub-Saharan Africa,2015,0.2708333333346218,7.41535688841941
409,Sub-Saharan Africa,2016,0.2835000000012542,7.20684465740851
410,Sub-Saharan Africa,2017,0.29650000000128784,7.005196730249736
411,Sub-Saharan Africa,2018,0.30983333333460905,6.810413106937631
412,Sub-Saharan Africa,2019,0.3235000000012178,6.6224937874794705
413,Sub-Saharan Africa,2020,0.3375000000012278,6.441438771871617
