r,t,y,TotalCapacityAnnual
REGION,AOCR00E00X,2016,3657.8370415096
REGION,AOCR00E00X,2017,4130.04962644911
REGION,AOCR00E00X,2018,4130.04962644911
REGION,AOCR00E00X,2019,4138.44403625897
REGION,AOCR00E00X,2020,4138.44403625897
REGION,AOCR00E00X,2021,5283.12004628805
REGION,AOCR00E00X,2022,5283.12004628805
REGION,AOCR00E00X,2023,5283.12004628805
REGION,AOCR00E00X,2024,5283.12004628805
REGION,AOCR00E00X,2025,5839.75083190027
REGION,AOCR00E00X,2026,5854.26815940027
REGION,AOCR00E00X,2027,5854.26815940027
REGION,AOCR00E00X,2028,5854.26815940027
REGION,AOCR00E00X,2029,6185.0378670699
REGION,AOCR00E00X,2030,6185.0378670699
REGION,AOCR00E00X,2031,6185.0378670699
REGION,AOCR00E00X,2032,6185.0378670699
REGION,AOCR00E00X,2033,6185.0378670699
REGION,AOCR00E00X,2034,6185.0378670699
REGION,AOCR00E00X,2035,6185.0378670699
REGION,AOCR00E00X,2036,6185.0378670699
REGION,AOCR00E00X,2037,6185.0378670699
REGION,AOCR00E00X,2038,6185.0378670699
REGION,AOCR00E00X,2039,6185.0378670699
REGION,AOCR00E00X,2040,6185.0378670699
REGION,AOCR00E00X,2041,999999999.0
REGION,AOCR00E00X,2042,999999999.0
REGION,AOCR00E00X,2043,999999999.0
REGION,AOCR00E00X,2044,999999999.0
REGION,AOCR00E00X,2045,999999999.0
REGION,AOCR00E00X,2046,999999999.0
REGION,AOCR00E00X,2047,999999999.0
REGION,AOCR00E00X,2048,999999999.0
REGION,AOCR00E00X,2049,999999999.0
REGION,AOCR00E00X,2050,999999999.0
REGION,AOCR00E00X,2051,999999999.0
REGION,AOCR00E00X,2052,999999999.0
REGION,AOCR00E00X,2053,999999999.0
REGION,AOCR00E00X,2054,999999999.0
REGION,AOCR00E00X,2055,999999999.0
REGION,AOCR00E00X,2056,999999999.0
REGION,AOCR00E00X,2057,999999999.0
REGION,AOCR00E00X,2058,999999999.0
REGION,AOCR00E00X,2059,999999999.0
REGION,AOCR00E00X,2060,999999999.0
REGION,AOCR00E00X,2061,999999999.0
REGION,AOCR00E00X,2062,999999999.0
REGION,AOCR00E00X,2063,999999999.0
REGION,AOCR00E00X,2064,999999999.0
REGION,AOCR00E00X,2065,999999999.0
REGION,AOCR00E00X,2066,999999999.0
REGION,AOCR00E00X,2067,999999999.0
REGION,AOCR00E00X,2068,999999999.0
REGION,AOCR00E00X,2069,999999999.0
REGION,AOCR00E00X,2070,999999999.0
REGION,AOCR00I00X,2020,16.688623098141
REGION,AOCR00I00X,2021,16.688623098141
REGION,AOCR00I00X,2022,16.688623098141
REGION,AOCR00I00X,2023,16.688623098141
REGION,AOCR00I00X,2024,16.688623098141
REGION,AOCR00I00X,2025,16.688623098141
REGION,AOCR00I00X,2026,16.688623098141
REGION,AOCR00I00X,2027,16.688623098141
REGION,AOCR00I00X,2028,16.688623098141
REGION,AOCR00I00X,2029,16.688623098141
REGION,AOCR00I00X,2030,16.688623098141
REGION,AOCR00I00X,2031,16.688623098141
REGION,AOCR00I00X,2032,16.688623098141
REGION,AOCR00I00X,2033,16.688623098141
REGION,AOCR00I00X,2034,16.688623098141
REGION,AOCR00I00X,2035,16.688623098141
REGION,AOCR00I00X,2036,16.688623098141
REGION,AOCR00I00X,2037,16.688623098141
REGION,AOCR00I00X,2038,16.688623098141
REGION,AOCR00I00X,2039,16.688623098141
REGION,AOCR00I00X,2040,16.688623098141
