r,t,y,NewCapacity
REGION,AOCRUDRE1X,2049,999999.0
REGION,AOCRUDRE1X,2050,999999.0
REGION,AOCRUDRE1X,2051,999999.0
REGION,AOCRUDRE1X,2052,999999.0
REGION,AOCRUDRE1X,2053,999999.0
REGION,AOCRUDRE1X,2054,999999.0
REGION,AOCRUDRE1X,2055,999999.0
REGION,AOCRUDRE1X,2056,999999.0
REGION,AOCRUDRE1X,2057,999999.0
REGION,AOCRUDRE1X,2058,999999.0
REGION,AOCRUDRE1X,2059,999999.0
REGION,AOCRUDRE1X,2060,999999.0
REGION,AOCRUDRE1X,2061,999999.0
REGION,AOCRUDRE1X,2062,999999.0
REGION,AOCRUDRE1X,2063,999999.0
REGION,AOCRUDRE1X,2064,999999.0
REGION,AOCRUDRE1X,2065,999999.0
REGION,AOCRUDRE1X,2066,999999.0
REGION,AOCRUDRE1X,2067,999999.0
REGION,AOCRUDRE1X,2068,999999.0
REGION,AOCRUDRE1X,2069,999999.0
REGION,AOCRUDRE1X,2070,999999.0
REGION,AOCRUDRE2X,2015,999999.0
REGION,AOCRUDRE2X,2016,999999.0
REGION,AOCRUDRE2X,2017,999999.0
REGION,AOCRUDRE2X,2018,999999.0
REGION,AOCRUDRE2X,2019,999999.0
REGION,AOCRUDRE2X,2020,999999.0
REGION,AOCRUDRE2X,2021,999999.0
REGION,AOCRUDRE2X,2022,999999.0
REGION,AOCRUDRE2X,2023,999999.0
REGION,AOCRUDRE2X,2024,999999.0
REGION,AOCRUDRE2X,2025,999999.0
REGION,AOCRUDRE2X,2026,999999.0
REGION,AOCRUDRE2X,2027,999999.0
REGION,AOCRUDRE2X,2028,999999.0
REGION,AOCRUDRE2X,2029,999999.0
REGION,AOCRUDRE2X,2030,999999.0
REGION,AOCRUDRE2X,2031,999999.0
REGION,AOCRUDRE2X,2032,999999.0
REGION,AOCRUDRE2X,2033,999999.0
REGION,AOCRUDRE2X,2034,999999.0
REGION,AOCRUDRE2X,2035,999999.0
REGION,AOCRUDRE2X,2036,999999.0
REGION,AOCRUDRE2X,2037,999999.0
REGION,AOCRUDRE2X,2038,999999.0
REGION,AOCRUDRE2X,2039,999999.0
REGION,AOCRUDRE2X,2040,999999.0
REGION,AOCRUDRE2X,2041,999999.0
REGION,AOCRUDRE2X,2042,999999.0
REGION,AOCRUDRE2X,2043,999999.0
REGION,AOCRUDRE2X,2044,999999.0
REGION,AOCRUDRE2X,2045,999999.0
REGION,AOCRUDRE2X,2046,999999.0
REGION,AOCRUDRE2X,2047,999999.0
REGION,AOCRUDRE2X,2048,999999.0
REGION,AOCRUDRE2X,2049,999999.0
REGION,AOCRUDRE2X,2050,999999.0
REGION,AOCRUDRE2X,2051,999999.0
REGION,AOCRUDRE2X,2052,999999.0
REGION,AOCRUDRE2X,2053,999999.0
REGION,AOCRUDRE2X,2054,999999.0
REGION,AOCRUDRE2X,2055,999999.0
REGION,AOCRUDRE2X,2056,999999.0
REGION,AOCRUDRE2X,2057,999999.0
REGION,AOCRUDRE2X,2058,999999.0
REGION,AOCRUDRE2X,2059,999999.0
REGION,AOCRUDRE2X,2060,999999.0
REGION,AOCRUDRE2X,2061,999999.0
REGION,AOCRUDRE2X,2062,999999.0
REGION,AOCRUDRE2X,2063,999999.0
REGION,AOCRUDRE2X,2064,999999.0
REGION,AOCRUDRE2X,2065,999999.0
REGION,AOCRUDRE2X,2066,999999.0
REGION,AOCRUDRE2X,2067,999999.0
REGION,AOCRUDRE2X,2068,999999.0
REGION,AOCRUDRE2X,2069,999999.0
REGION,AOCRUDRE2X,2070,999999.0
REGION,AOEL00T00X,2016,0.0756672363940973
REGION,AOEL00T00X,2017,0.212778914718764
REGION,AOEL00T00X,2018,0.211576773957643
REGION,AOEL00T00X,2019,0.210384792132528
REGION,AOEL00T00X,2020,0.209396681315304
REGION,AOEL00T00X,2021,0.164104234639459
REGION,AOEL00T00X,2022,0.175851126877758
REGION,AOEL00T00X,2023,0.188473807988125
REGION,AOEL00T00X,2024,0.202034243488467
REGION,AOEL00T00X,2025,0.216598234143084
REGION,AOEL00T00X,2026,0.228954925131248
REGION,AOEL00T00X,2027,0.245410133795322
REGION,AOEL00T00X,2028,0.263071668589027
